id,state
1,Calefornia
2,Calefornia
3,Calefarnia
4,California
5,New York
6,Californie
7,Calefornia
8,New York
9,Cali
10,New York City
11,Calefornie
12,New York
13,New York
14,Cali
15,New York City
16,Californie
17,Cali
18,Calefornie
19,Cali
20,New York City
21,New York
22,California
23,Calefarnia
24,California
25,Calefornia
26,Californie
27,New York
28,California
29,Calefarnia
30,Calefornia
31,Cali
32,California
33,New York
34,California
35,California
36,California
37,Cali
38,New York
39,Cali
40,Calefornia
41,Calefornie
42,Calefarnia
43,Calefarnia
44,Calefornia
45,Cali
46,Calefornie
47,Californie
48,Californie
49,Calefornia
50,California
51,Calefornie
52,Calefornia
53,California
54,Calefornia
55,Calefornia
56,New York
57,Calefornie
58,California
59,California
60,New York
61,California
62,New York
63,Calefornia
64,Calefarnia
65,California
66,New York
67,Californie
68,Calefarnia
69,New York City
70,Californie
71,New York City
72,Cali
73,Californie
74,Californie
75,Cali
76,Calefarnia
77,California
78,Calefornia
79,New York
80,New York
81,California
82,California
83,Cali
84,New York
85,New York
86,California
87,California
88,New York City
89,Calefornie
90,California
91,Californie
92,Calefornie
93,Cali
94,California
95,Calefornie
96,California
97,Californie
98,New York
99,Cali
100,Californie
